"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLTCBUS","194913","11.980905","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195013","12.347109","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195113","12.552996","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195213","11.306479","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195313","11.372684","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195413","9.714667","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195513","11.167259","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195613","11.349723","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195713","10.820631","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195813","9.533287","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","195913","9.518353","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196013","9.837785","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196113","9.623351","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196213","9.906454","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196313","10.412538","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196413","10.964385","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196513","11.580608","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196613","12.14308","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196713","11.91375","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196813","12.330677","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","196913","12.38154","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197013","12.264528","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197113","11.598411","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197213","12.076917","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197301","1.166191","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197302","1.050588","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197303","1.046856","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197304","0.998979","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197305","1.014502","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197306","1.050077","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197307","1.110438","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197308","1.135679","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197309","1.057732","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197310","1.083177","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197311","1.08859","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197312","1.16868","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197313","12.97149","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197401","1.145845","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197402","1.036439","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197403","1.050801","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197404","0.994963","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197405","1.029181","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197406","1.014433","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197407","1.110438","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197408","1.112559","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197409","1.005508","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197410","1.051737","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197411","1.022021","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197412","1.088954","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197413","12.662878","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197501","1.131658","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197502","1.038817","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197503","1.072008","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197504","0.996432","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197505","0.976643","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197506","1.021948","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197507","1.081702","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197508","1.116476","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197509","1.00335","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197510","1.020889","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197511","1.044129","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197512","1.158734","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197513","12.662786","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197601","1.201363","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197602","1.063557","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197603","1.103547","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197604","1.054029","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197605","1.060057","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197606","1.09882","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197607","1.171113","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197608","1.17987","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197609","1.081958","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197610","1.119412","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197611","1.176231","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197612","1.27411","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197613","13.584067","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197701","1.266433","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197702","1.121735","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197703","1.12922","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197704","1.041243","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197705","1.103387","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197706","1.1621","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197707","1.257119","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197708","1.231003","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197709","1.135635","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197710","1.127504","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197711","1.139472","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197712","1.207253","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197713","13.922103","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197801","1.195802","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197802","1.00151","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197803","0.953062","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197804","1.019025","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197805","1.088001","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197806","1.162388","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197807","1.237363","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197808","1.278218","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197809","1.211465","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197810","1.166964","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197811","1.170315","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197812","1.281463","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197813","13.765575","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197901","1.352487","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197902","1.203643","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197903","1.2125","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197904","1.140389","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197905","1.19397","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197906","1.238154","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197907","1.334783","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197908","1.342578","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197909","1.198249","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197910","1.231391","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197911","1.237532","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197912","1.35391","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197913","15.039586","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198001","1.394041","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198002","1.309761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198003","1.291623","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198004","1.155186","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198005","1.15954","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198006","1.231174","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198007","1.385342","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198008","1.377215","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198009","1.257702","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198010","1.224097","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198011","1.246566","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198012","1.39054","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198013","15.422809","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198101","1.467366","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198102","1.297021","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198103","1.304283","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198104","1.186599","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198105","1.194768","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198106","1.295935","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198107","1.463331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198108","1.430796","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198109","1.296714","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198110","1.284573","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198111","1.27444","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198112","1.411723","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198113","15.907526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198201","1.488841","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198202","1.294926","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198203","1.26221","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198204","1.154664","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198205","1.188681","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198206","1.212642","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198207","1.383398","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198208","1.376905","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198209","1.22966","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198210","1.192804","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198211","1.231755","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198212","1.305074","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198213","15.321581","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198301","1.359687","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198302","1.180042","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198303","1.196034","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198304","1.13955","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198305","1.172176","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198306","1.25652","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198307","1.499058","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198308","1.573899","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198309","1.366111","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198310","1.304357","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198311","1.325008","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198312","1.521978","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198313","15.894442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198401","1.551521","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198402","1.35899","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198403","1.402844","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198404","1.271621","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198405","1.297942","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198406","1.439065","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198407","1.51922","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198408","1.586855","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198409","1.383544","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198410","1.395014","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198411","1.393904","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198412","1.470103","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198413","17.070622","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198501","1.599226","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198502","1.405395","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198503","1.385744","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198504","1.319424","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198505","1.384445","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198506","1.431061","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198507","1.584552","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198508","1.561888","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198509","1.424542","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198510","1.389491","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198511","1.385921","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198512","1.606739","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198513","17.478428","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198601","1.628376","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198602","1.412688","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198603","1.385114","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198604","1.264564","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198605","1.32118","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198606","1.46356","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198607","1.64801","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198608","1.515011","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198609","1.401321","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198610","1.355954","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198611","1.366752","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198612","1.497876","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198613","17.260405","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198701","1.563157","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198702","1.357526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198703","1.372447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198704","1.322692","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198705","1.419056","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198706","1.553622","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198707","1.731657","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198708","1.719952","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198709","1.484318","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198710","1.448063","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198711","1.433762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198712","1.602198","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198713","18.008451","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198801","1.684214","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198802","1.539149","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198803","1.48558","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198804","1.368241","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198805","1.418454","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198806","1.601226","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198807","1.748765","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198808","1.819299","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198809","1.522329","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198810","1.498257","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198811","1.493134","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198812","1.667662","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198813","18.846312","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198901","1.661361","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198902","1.570485","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198903","1.558177","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198904","1.421056","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198905","1.465828","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198906","1.571761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198907","1.705408","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198908","1.717331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198909","1.550947","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198910","1.524699","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198911","1.534514","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198912","1.788196","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198913","19.069762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199001","1.651617","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199002","1.465526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199003","1.528733","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199004","1.449803","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199005","1.477073","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199006","1.604918","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199007","1.740572","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199008","1.776442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199009","1.639972","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199010","1.604968","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199011","1.535479","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199012","1.697532","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199013","19.172635","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199101","1.748968","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199102","1.460729","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199103","1.480065","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199104","1.37316","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199105","1.497435","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199106","1.596278","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199107","1.738203","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199108","1.737679","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199109","1.576469","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199110","1.540673","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199111","1.588175","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199112","1.653837","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199113","18.99167","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199201","1.674804","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199202","1.496093","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199203","1.55524","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199204","1.452659","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199205","1.487696","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199206","1.560214","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199207","1.780586","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199208","1.708952","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199209","1.604886","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199210","1.551277","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199211","1.549587","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199212","1.700478","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199213","19.122471","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199301","1.694732","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199302","1.571442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199303","1.642407","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199304","1.47171","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199305","1.477777","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199306","1.65183","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199307","1.879354","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199308","1.861654","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199309","1.613322","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199310","1.598503","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199311","1.616403","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199312","1.756016","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199313","19.835148","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199401","1.850167","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199402","1.609522","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199403","1.625221","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199404","1.476662","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199405","1.542882","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199406","1.756627","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199407","1.833751","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199408","1.815447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199409","1.613611","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199410","1.579331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199411","1.531004","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199412","1.675238","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199413","19.909463","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199501","1.734081","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199502","1.564076","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199503","1.56238","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199504","1.451528","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199505","1.525782","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199506","1.666155","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199507","1.892732","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199508","1.984136","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199509","1.663762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199510","1.615666","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199511","1.642728","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199512","1.785701","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199513","20.088727","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199601","1.846331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199602","1.674298","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199603","1.676263","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199604","1.51701","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199605","1.624761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199606","1.754707","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199607","1.903677","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199608","1.92362","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199609","1.719606","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199610","1.722898","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199611","1.770365","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199612","1.868379","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199613","21.001914","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199701","1.931005","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199702","1.642436","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199703","1.674451","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199704","1.595009","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199705","1.629447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199706","1.744437","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199707","1.988514","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199708","1.941613","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199709","1.806164","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199710","1.812595","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199711","1.759272","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199712","1.920468","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199713","21.445411","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199801","1.891535","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199802","1.660188","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199803","1.722384","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199804","1.602345","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199805","1.737653","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199806","1.865706","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199807","2.042377","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199808","2.039581","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199809","1.841326","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199810","1.75168","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199811","1.666298","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199812","1.83467","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199813","21.655744","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199901","1.899404","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199902","1.64394","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199903","1.720541","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199904","1.637055","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199905","1.711331","1","Coal Consumption","Quadrillion Btu"
